,statenum,year,disease,m_rate,p_urb,lnm_rate
91,Alabama,1939.0,1,590.0,29.990002,6.3801227
92,Alabama,1939.0,2,0.0010286787,29.990002,-6.87948
93,Alabama,1939.0,3,4.9746122e-06,29.990002,-12.2111635
94,Alabama,1939.0,4,0.000548984,29.990002,-7.5074415
95,Alabama,1939.0,5,0.00012329932,29.990002,-9.0008955
96,Alabama,1939.0,6,0.0006164966,29.990002,-7.3914576
97,Alabama,1939.0,7,0.0015506578,29.990002,-6.469076
98,Alabama,1940.0,1,610.0,,6.413459
99,Alabama,1940.0,2,0.000936829,,-6.9730096
100,Alabama,1940.0,3,4.5888382e-06,,-12.291883
101,Alabama,1940.0,4,0.00052736345,,-7.547621
102,Alabama,1940.0,5,0.00012001577,,-9.027887
103,Alabama,1940.0,6,0.0006614987,,-7.3210025
104,Alabama,1940.0,7,0.0017960008,,-6.3221927
105,Alabama,1941.0,1,540.0,,6.291569
106,Alabama,1941.0,2,0.00086839625,,-7.0488625
107,Alabama,1941.0,3,4.2019174e-06,,-12.37997
108,Alabama,1941.0,4,0.0005241892,,-7.553658
109,Alabama,1941.0,5,0.00012255592,,-9.006943
110,Alabama,1941.0,6,0.0006667042,,-7.313164
111,Alabama,1941.0,7,0.0017560513,,-6.3446875
112,Alabama,1942.0,1,330.0,,5.799093
113,Alabama,1942.0,2,0.00068850105,,-7.280994
114,Alabama,1942.0,3,1.3895077e-06,,-13.486561
115,Alabama,1942.0,4,0.00044151608,,-7.725296
116,Alabama,1942.0,5,0.00011359226,,-9.082895
117,Alabama,1942.0,6,0.00062736275,,-7.373986
118,Alabama,1942.0,7,0.0016458719,,-6.409485
119,Alabama,1943.0,1,340.0,,5.8289456
120,Alabama,1943.0,2,0.0007892209,,-7.1444645
121,Alabama,1943.0,3,1.0339139e-06,,-13.782159
122,Alabama,1943.0,4,0.0004449276,,-7.717599
123,Alabama,1943.0,5,0.00011131806,,-9.103119
124,Alabama,1943.0,6,0.0006200037,,-7.385785
125,Alabama,1943.0,7,0.0017418002,,-6.352836
126,Arizona,1926.0,1,1020.0,34.72,6.927558
127,Arizona,1926.0,2,0.0018075556,34.72,-6.3157797
128,Arizona,1926.0,3,2.5315903e-05,34.72,-10.584078
129,Arizona,1926.0,4,0.003701185,34.72,-5.599102
130,Arizona,1926.0,5,9.3668845e-05,34.72,-9.275745
131,Arizona,1926.0,6,0.0005012549,34.72,-7.598396
132,Arizona,1926.0,7,0.0010328889,34.72,-6.875396
133,Arizona,1927.0,1,889.99994,34.64,6.7912216
134,Arizona,1927.0,2,0.0014982116,34.64,-6.5034833
135,Arizona,1927.0,3,1.7277564e-05,34.64,-10.966102
136,Arizona,1927.0,4,0.0036801212,34.64,-5.6048098
137,Arizona,1927.0,5,5.4300916e-05,34.64,-9.82097
138,Arizona,1927.0,6,0.00054054096,34.64,-7.52294
139,Arizona,1927.0,7,0.0011008277,34.64,-6.8116927
140,Arizona,1928.0,1,770.0,34.56,6.6463904
141,Arizona,1928.0,2,0.0020901016,34.56,-6.1705427
142,Arizona,1928.0,3,2.1671562e-05,34.56,-10.73951
143,Arizona,1928.0,4,0.0036673099,34.56,-5.608297
144,Arizona,1928.0,5,6.742263e-05,34.56,-9.604529
145,Arizona,1928.0,6,0.0005682765,34.56,-7.4729023
146,Arizona,1928.0,7,0.0012232392,34.56,-6.706253
147,Arizona,1929.0,1,780.0,34.480003,6.659294
148,Arizona,1929.0,2,0.0020872906,34.480003,-6.1718884
149,Arizona,1929.0,3,1.4103315e-05,34.480003,-11.169101
150,Arizona,1929.0,4,0.0036739137,34.480003,-5.606498
