,mes ,ano,vale_adr,iron_ore,DJA,IBOV,1lag_iron_ore,1lag_dja,ln_vale_adr
69,10,2014,8.760536,81.06,6272.189941,54629,4.411342689007935,8.710032565042432,2.1702570902910505
70,11,2014,7.822837,73.73,6456.160156,54664,4.395189621200163,8.743880845532154,2.0570472764894503
71,12,2014,7.102199,68.39,6473.600098,50007,4.300409772001559,8.772790016953117,1.9604044544043142
72,1,2015,6.103723,68.23,6272.52002,46908,4.225226615110005,8.775487662111834,1.808898912873812
73,2,2015,6.442337,62.75,6470.810059,51583,4.222884350827332,8.743933469945329,1.8628913624870227
74,3,2015,4.905553,58.05,6328.120117,51150,4.139158578011894,8.775056581976182,1.5903678287623115
75,4,2015,6.886059,52.28,6308.129883,56229,4.061304708143901,8.75275849109414,1.929498932988833
76,5,2015,5.64872,60.3,6279.180176,52760,3.956613888756021,8.74959453807387,1.731428970819756
77,6,2015,5.281105,62.63,6096.220215,53081,4.09933210373314,8.744994705717545,1.6641353561251326
78,7,2015,4.716233,52.39,6229.97998,50865,4.137244396537321,8.715424221221882,1.55101038773118
79,8,2015,4.43828,56.19,5848.870117,46626,3.9587157334201284,8.737128398293189,1.4902669140028681
80,9,2015,3.765814,56.95,5812.930176,45059,4.028738805124107,8.674003779178346,1.325964039742833
81,10,2015,3.986632,53.12,6162.459961,45869,4.0421736898931915,8.667840055931292,1.3829467641643947
82,11,2015,3.08141,46.86,6139.089844,45120,3.9725535051681784,8.726231321129028,1.1253872844383919
83,12,2015,3.008261,40.5,5978.339844,43350,3.8471644330796497,8.72243177627724,1.101362170940436
84,1,2016,2.240195,41.88,5717.759766,40406,3.7013019741124933,8.695898190341449,0.8065629156494347
85,2,2016,2.688234,46.83,5838.589844,42794,3.734808386002336,8.651332358358527,0.9888844724433894
86,3,2016,3.849478,56.2,6275.600098,50055,3.8465240231954505,8.672244581596397,1.3479375546917107
87,4,2016,5.18445,60.92,6253.290039,53911,4.028916756899646,8.744424392574837,1.6456637608381448
88,5,2016,3.593455,55.13,6248.339844,48472,4.109561528026961,8.740863010467287,1.2791141352376831
89,6,2016,4.626688,51.98,6303.439941,51527,4.009694032601592,8.740071082485889,1.531841277350927
90,7,2016,5.2576,57.26,6470.850098,57308,3.950859029213344,8.748850785744597,1.6596746488608118
91,8,2016,4.818705,60.89,6397.140137,57901,4.047602299669969,8.77506276959037,1.5725052197644975
92,9,2016,5.029008,57.79,6424.870117,58367,4.109068957620483,8.763606315885195,1.615222747962076
93,10,2016,6.327407,59.09,6400.140137,64925,4.056815750329687,8.76793169430617,1.8448905155812034
94,11,2016,7.76296,73.1,6719.990234,61906,4.079061705357583,8.76407516551429,2.049363704763096
